title,total ratings,installs,average rating,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,PRICE
Garena Free Fire- World Series,86273129,500000000,4,GAME ACTION,63546766,4949507,3158756,2122183,12495915,0
PUBG MOBILE - Traverse,37276732,500000000,4,GAME ACTION,28339753,2164478,1253185,809821,4709492,0
Mobile Legends: Bang Bang,26663595,100000000,4,GAME ACTION,18777988,1812094,1050600,713912,4308998,0
Brawl Stars,17971552,100000000,4,GAME ACTION,13018610,1552950,774012,406184,2219794,0
Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500000000,4,GAME ACTION,9827328,2124154,1047741,380670,1084340,0
Call of Duty®: Mobile - Season 4: Spurned & Burned,13572148,100000000,4,GAME ACTION,10501443,1274162,517273,268489,1010778,0
Among Us,11936964,100000000,3,GAME ACTION,5954262,1041297,853099,719378,3368926,0
War Robots. 6v6 Tactical Multiplayer Battles,4221389,50000000,3,GAME ACTION,2634036,450688,267931,164087,704645,0
Kick the Buddy,3213257,100000000,4,GAME ACTION,2174466,265019,189630,118612,465528,50
WWE Mayhem,703514,10000000,4,GAME ACTION,519090,68518,34658,17634,63612,48
Roblox,21820451,100000000,4,GAME ADVENTURE,16674013,1916826,822266,423122,1984222,69
Pokémon GO,14541662,100000000,4,GAME ADVENTURE,9517488,1746849,883965,452314,1941044,80
Criminal Case,4273420,100000000,4,GAME ADVENTURE,3264905,445397,217853,93681,251581,100
KIM KARDASHIAN: HOLLYWOOD,1096282,10000000,4,GAME ADVENTURE,754581,139419,71549,32075,98655,0
Growtopia,1014301,10000000,3,GAME ADVENTURE,542530,73688,72005,51658,274417,0
Family Guy The Quest for Stuff,1008075,10000000,3,GAME ADVENTURE,587972,126076,79831,49340,164854,0
The Secret Society - Hidden Objects Mystery,892542,5000000,4,GAME ADVENTURE,532135,214918,102189,19643,23655,0
Prison Escape Puzzle: Adventure,154835,10000000,4,GAME ADVENTURE,99726,22100,12197,5612,15197,0
Subway Surfers,35665901,1000000000,4,GAME ARCADE,27138572,3366600,1622695,814890,2723142,0
Hungry Shark Evolution - Offline survival game,7202013,100000000,4,GAME ARCADE,5220860,792543,404086,191098,593424,0
Geometry Dash Lite,6960814,100000000,4,GAME ARCADE,4787054,831967,432708,188672,720411,0
Zombie Tsunami,5903477,100000000,4,GAME ARCADE,4295577,615956,339838,159034,493070,0
Fruit Ninja®,5367599,100000000,4,GAME ARCADE,3745457,583916,354239,150993,532992,0
Jetpack Joyride,4919742,100000000,4,GAME ARCADE,3676322,567777,271954,94004,309682,0
Temple Run,4816448,500000000,4,GAME ARCADE,3184391,438320,318164,204384,671187,0
Cooking Fever – Restaurant Game,4565220,100000000,4,GAME ARCADE,3220230,532157,287592,139793,385446,0
Stack,426000,50000000,4,GAME ARCADE,255915,70110,42076,15851,42046,0
